peak_Hz,peak_Q,peak_mel,fourier_freq,        ampmax_n4,ampmax_n3,ampmax_n2,ampmax_n1,        ampmax_0,ampmax_p1,ampmax_p2,ampmax_p3,        num_samples,sample_rate,species
4349.70703125,61,2855.377251401062,6295,5770.8984375,2993.115234375,3229.98046875,4328.173828125,4521.97265625,4565.0390625,4737.3046875,3251.513671875,63945,44100,Indigo Bunting
3488.37890625,53,2428.0503191005596,5046,2670.1171875,2863.916015625,3402.24609375,2691.650390625,3509.912109375,3057.71484375,2820.849609375,2713.18359375,63945,44100,Purple Finch
2971.58203125,55,2064.6758144450405,4303,3789.84375,3682.177734375,3660.64453125,2497.8515625,3316.11328125,3143.84765625,2282.51953125,2131.787109375,63945,44100,American Robin
3079.248046875,49,1575.8281341171266,3094,1873.388671875,1421.19140625,3337.646484375,3337.646484375,3186.9140625,2390.185546875,2627.05078125,2648.583984375,63945,44100,American Robin
3337.646484375,55,2300.3243609551837,4836,3682.177734375,3380.712890625,3316.11328125,3294.580078125,3079.248046875,3100.78125,2971.58203125,2885.44921875,63945,44100,Blue Jay
2906.25,54,1956.0649283422904,4204,3023.4375,3046.875,3093.75,3023.4375,2929.6875,2906.25,2789.0625,2601.5625,69600,48000,American Robin
2390.185546875,50,1755.6828148163845,3477,3488.37890625,2411.71875,1205.859375,3445.3125,4285.107421875,4220.5078125,4414.306640625,4651.171875,63945,44100,Scarlet Tanager
7902.685546875,71,4771.063912195746,11453,2756.25,2713.18359375,9194.677734375,7945.751953125,7902.685546875,1787.255859375,1981.0546875,2045.654296875,63945,44100,Blue Jay
4866.50390625,61,2933.5790620740468,8649,4543.505859375,4543.505859375,4823.4375,7579.6875,4909.5703125,4349.70703125,4823.4375,4909.5703125,63945,44100,Indigo Bunting
7859.619140625,31,4771.063912195746,11401,7687.353515625,1378.125,7816.552734375,7859.619140625,6782.958984375,7816.552734375,2648.583984375,2476.318359375,63945,44100,Tufted Titmouse
3919.04296875,58,2633.058990303261,497,4349.70703125,4112.841796875,3919.04296875,3768.310546875,3574.51171875,3509.912109375,3531.4453125,3596.044921875,63945,44100,Red-winged Blackbird
2734.716796875,53,1956.0649283422904,3948,7192.08984375,7213.623046875,6826.025390625,2734.716796875,2885.44921875,1507.32421875,2519.384765625,2411.71875,63945,44100,Blue Jay
2368.65234375,14,1708.8807439736054,3439,3014.6484375,4866.50390625,5706.298828125,2368.65234375,2390.185546875,4651.171875,5555.56640625,4651.171875,63945,44100,Blue Jay
3509.912109375,56,2363.324628283645,5080,1291.9921875,1356.591796875,3423.779296875,3488.37890625,3359.1796875,3316.11328125,3251.513671875,3165.380859375,63945,44100,Blue Jay
2605.517578125,52,1853.1674450398705,3768,2820.849609375,3682.177734375,2583.984375,2583.984375,2648.583984375,2562.451171875,3208.447265625,2734.716796875,63945,44100,American Robin
2713.18359375,52,1956.0649283422904,3948,4694.23828125,3402.24609375,3703.7109375,2713.18359375,2756.25,2691.650390625,3682.177734375,4608.10546875,63945,44100,Blue Jay
2562.451171875,52,1853.1674450398705,3743,2993.115234375,2583.984375,2562.451171875,2583.984375,3057.71484375,2519.384765625,3746.77734375,2583.984375,63945,44100,American Robin
8785.546875,72,4901.7317027958015,12720,8419.482421875,7472.021484375,7665.8203125,8591.748046875,5900.09765625,1464.2578125,1593.45703125,1485.791015625,63945,44100,Tufted Titmouse
1464.2578125,15,890.792762375542,146,1399.658203125,1636.5234375,1291.9921875,1356.591796875,1442.724609375,1442.724609375,1485.791015625,1291.9921875,63945,44100,Canada Goose
2627.05078125,15,1618.9862188629947,461,2347.119140625,2583.984375,2971.58203125,3143.84765625,2196.38671875,2239.453125,2713.18359375,2196.38671875,63945,44100,American Robin
7450.48828125,70,4520.0852958284495,10790,7515.087890625,7407.421875,7428.955078125,7536.62109375,7364.35546875,7321.2890625,7105.95703125,2691.650390625,63945,44100,Tufted Titmouse
7617.1875,71,4399.591234802461,11013,8226.5625,7687.5,7640.625,7617.1875,7570.3125,7875.0,7500.0,7289.0625,69600,48000,Blue Jay
1664.0625,13,1235.6632525954,107,1687.5,1710.9375,1734.375,1687.5,1781.25,1687.5,2531.25,5039.0625,69600,48000,Blue Jay
7278.22265625,69,4399.591234802461,10563,8204.150390625,8096.484375,7041.357421875,8161.083984375,6567.626953125,6632.2265625,2024.12109375,2153.3203125,63945,44100,Tufted Titmouse
6304.6875,67,3741.1620115459477,5738,6398.4375,6398.4375,6445.3125,6398.4375,5203.125,6375.0,3960.9375,3984.375,69600,48000,Carolina Chickadee
2765.625,53,1903.9211763064616,4021,2460.9375,6914.0625,6820.3125,2882.8125,2742.1875,2718.75,2460.9375,7242.1875,69600,48000,Tufted Titmouse
2777.783203125,51,1803.7666800985344,3696,2777.783203125,3036.181640625,2067.1875,2562.451171875,2476.318359375,2390.185546875,2368.65234375,2497.8515625,63945,44100,Rose-breasted Grosbeak
5878.564453125,66,3741.1620115459477,8540,3466.845703125,1528.857421875,1894.921875,5900.09765625,5943.1640625,5706.298828125,3919.04296875,2648.583984375,63945,44100,Red-winged Blackbird
4974.169921875,64,3357.9119772274435,7563,5878.564453125,6072.36328125,6158.49609375,5318.701171875,5232.568359375,4974.169921875,4952.63671875,5297.16796875,63945,44100,Brown-headed Cowbird
7407.421875,69,4520.0852958284495,10759,7601.220703125,7751.953125,4026.708984375,7170.556640625,6998.291015625,7321.2890625,7428.955078125,7579.6875,63945,44100,Tufted Titmouse
3488.37890625,57,2363.324628283645,5067,1248.92578125,1205.859375,1335.05859375,4392.7734375,3617.578125,3466.845703125,3402.24609375,3596.044921875,63945,44100,Red-winged Blackbird
2691.650390625,53,1903.9211763064616,3900,4521.97265625,2239.453125,2368.65234375,3208.447265625,2411.71875,2756.25,2368.65234375,2713.18359375,63945,44100,Blue Jay
4328.173828125,61,2855.377251401062,6280,2863.916015625,3122.314453125,3186.9140625,2583.984375,4392.7734375,4285.107421875,4371.240234375,2906.982421875,63945,44100,American Robin
3122.314453125,56,2179.317341151332,4788,3337.646484375,3359.1796875,4435.83984375,3832.91015625,3531.4453125,4457.373046875,2906.982421875,2734.716796875,63945,44100,Tufted Titmouse
4737.3046875,18,4057.0412364152144,9549,4909.5703125,4909.5703125,4844.970703125,3273.046875,6567.626953125,4478.90625,4888.037109375,4844.970703125,63945,44100,Brown-headed Cowbird
2799.31640625,53,1956.0649283422904,4059,2002.587890625,4780.37109375,2174.853515625,2756.25,3165.380859375,2885.44921875,2799.31640625,2820.849609375,63945,44100,Red-winged Blackbird
4134.375,60,2779.2601035454527,5997,7192.08984375,7149.0234375,6589.16015625,6180.029296875,5146.435546875,5275.634765625,4112.841796875,4134.375,63945,44100,Carolina Chickadee
2390.185546875,50,1708.8807439736054,3520,2670.1171875,2260.986328125,2497.8515625,2368.65234375,2411.71875,2325.5859375,2131.787109375,2196.38671875,63945,44100,Eastern Bluebird
1012.060546875,27,812.1934009894649,111,1227.392578125,1399.658203125,1485.791015625,5490.966796875,4435.83984375,3854.443359375,3746.77734375,1851.85546875,63945,44100,Blue Jay
3273.046875,15,1853.1674450398705,3764,2583.984375,2583.984375,2583.984375,2605.517578125,3423.779296875,3036.181640625,2971.58203125,3122.314453125,63945,44100,Red-winged Blackbird
2670.1171875,52,1903.9211763064616,3881,3122.314453125,3122.314453125,2562.451171875,2734.716796875,2734.716796875,2799.31640625,2583.984375,2282.51953125,63945,44100,Eastern Bluebird
2507.8125,39,1022.7276958555574,1822,3304.6875,4054.6875,2343.75,1335.9375,1312.5,1265.625,1265.625,1242.1875,69600,48000,American Crow
3725.244140625,59,2562.8682859474306,5409,1701.123046875,1658.056640625,4091.30859375,2691.650390625,4888.037109375,4306.640625,4069.775390625,3897.509765625,63945,44100,Red-winged Blackbird
1265.625,34,812.1934009894649,1830,1289.0625,1335.9375,1687.5,1406.25,1335.9375,1218.75,1687.5,1500.0,69600,48000,American Crow
4823.4375,58,1202.7235902613256,2252,1614.990234375,1571.923828125,4285.107421875,4801.904296875,4737.3046875,4823.4375,4801.904296875,4715.771484375,63945,44100,American Crow
3057.71484375,50,1663.3262981669018,4442,2174.853515625,2347.119140625,3122.314453125,3208.447265625,3036.181640625,3014.6484375,2928.515625,2131.787109375,63945,44100,Rose-breasted Grosbeak
3639.111328125,57,2428.0503191005596,5270,2799.31640625,3660.64453125,3596.044921875,3488.37890625,3574.51171875,2691.650390625,3660.64453125,2648.583984375,63945,44100,Blue Jay
3079.248046875,54,2121.2222434897826,4463,1227.392578125,1270.458984375,1722.65625,1291.9921875,3789.84375,4069.775390625,4026.708984375,3552.978515625,63945,44100,Scarlet Tanager
2756.25,53,1956.0649283422904,4074,2777.783203125,2820.849609375,2756.25,2820.849609375,2713.18359375,2820.849609375,2627.05078125,2842.3828125,63945,44100,Red-winged Blackbird
1507.32421875,15,1170.6620161542858,146,1485.791015625,1507.32421875,1464.2578125,1421.19140625,1614.990234375,1593.45703125,1378.125,1614.990234375,63945,44100,Canada Goose
2562.451171875,51,2121.2222434897826,4376,2583.984375,2885.44921875,2583.984375,3596.044921875,3509.912109375,2713.18359375,2304.052734375,2540.91796875,63945,44100,American Robin
4995.703125,61,2779.2601035454527,6973,4198.974609375,4198.974609375,4586.572265625,5017.236328125,3789.84375,3552.978515625,6912.158203125,7213.623046875,63945,44100,Indigo Bunting
4523.4375,66,3449.8769869545595,6581,5695.3125,5695.3125,5906.25,5929.6875,6492.1875,5625.0,5507.8125,5671.875,69600,48000,Brown-headed Cowbird
3186.9140625,55,2179.317341151332,4600,4435.83984375,2820.849609375,4328.173828125,4306.640625,4306.640625,3725.244140625,3423.779296875,3380.712890625,63945,44100,Blue Jay
3398.4375,15,2239.003521681573,102,3070.3125,3375.0,3398.4375,3281.25,3140.625,3046.875,2953.125,2789.0625,69600,48000,Blue Jay
3014.6484375,54,2064.6758144450405,186,2820.849609375,2993.115234375,5512.5,8311.81640625,7493.5546875,6804.4921875,2950.048828125,3100.78125,63945,44100,American Robin
3983.642578125,68,4057.0412364152144,5788,3983.642578125,6653.759765625,6567.626953125,6503.02734375,6459.9609375,6395.361328125,6459.9609375,3854.443359375,63945,44100,Carolina Chickadee
6115.4296875,44,3843.623303895436,8887,6223.095703125,1658.056640625,6158.49609375,4952.63671875,6115.4296875,1873.388671875,6093.896484375,1614.990234375,63945,44100,American Crow
4263.57421875,27,3741.1620115459477,270,1873.388671875,1679.58984375,2670.1171875,2390.185546875,6653.759765625,6373.828125,4349.70703125,2390.185546875,63945,44100,Indigo Bunting
2325.5859375,50,1708.8807439736054,3321,3660.64453125,2777.783203125,2820.849609375,2648.583984375,2540.91796875,2282.51953125,2325.5859375,2368.65234375,63945,44100,Eastern Bluebird
1571.923828125,14,1235.6632525954,174,1507.32421875,1571.923828125,1270.458984375,1701.123046875,1614.990234375,1464.2578125,1507.32421875,1248.92578125,63945,44100,Canada Goose
1378.125,34,733.5940396033876,1321,1421.19140625,1507.32421875,1485.791015625,1442.724609375,1248.92578125,1248.92578125,1270.458984375,1291.9921875,63945,44100,Canada Goose
