peak_Hz,peak_Q,peak_mel,fourier_freq,ampmax_n3,ampmax_n2,ampmax_n1,ampmax_0,ampmax_p1,ampmax_p2,num_samples,sample_rate,species
4888.037109375,59,3741.1620115459477,7076,4780.37109375,4931.103515625,8720.947265625,5943.1640625,4866.50390625,4931.103515625,63945,44100,American Goldfinch
3057.71484375,50,2121.2222434897826,4421,1507.32421875,1593.45703125,1981.0546875,3057.71484375,2282.51953125,2433.251953125,63945,44100,American Robin
3875.9765625,58,2428.0503191005596,5130,4134.375,4672.705078125,4500.439453125,4242.041015625,4177.44140625,3703.7109375,63945,44100,American Goldfinch
1722.65625,44,1304.273695349327,2500,1744.189453125,1313.525390625,4005.17578125,1679.58984375,1658.056640625,1614.990234375,63945,44100,Blue Jay
1227.392578125,39,995.5919108903119,2440,1550.390625,1227.392578125,1291.9921875,1227.392578125,1205.859375,1248.92578125,63945,44100,American Crow
2756.25,53,1956.0649283422904,3979,1291.9921875,1937.98828125,2863.916015625,2260.986328125,2713.18359375,2734.716796875,63945,44100,American Robin
2239.453125,49,1618.9862188629947,4348,3014.6484375,2993.115234375,2993.115234375,2993.115234375,2217.919921875,2196.38671875,63945,44100,Blue Jay
4734.375,60,2705.1720466601614,193,4218.75,4171.875,4195.3125,4359.375,3937.5,4382.8125,69600,48000,Carolina Chickadee
1335.05859375,41,1202.7235902613256,2225,3337.646484375,3100.78125,1485.791015625,1636.5234375,1464.2578125,1313.525390625,63945,44100,American Crow
2583.984375,52,1853.1674450398705,3765,2067.1875,3402.24609375,3811.376953125,3445.3125,2993.115234375,2390.185546875,63945,44100,American Robin
4125.0,61,2633.058990303261,6429,4218.75,4195.3125,4664.0625,4007.8125,4593.75,2765.625,69600,48000,American Robin
3046.875,54,2064.6758144450405,4437,2273.4375,2648.4375,2929.6875,3210.9375,2835.9375,2343.75,69600,48000,American Robin
6244.62890625,67,3948.8907608530103,9042,1378.125,1248.92578125,9883.740234375,6933.69140625,4651.171875,6244.62890625,63945,44100,Brown-headed Cowbird
3165.380859375,55,2239.003521681573,4710,3919.04296875,3251.513671875,3273.046875,3143.84765625,3143.84765625,3100.78125,63945,44100,Blue Jay
1442.724609375,41,1139.4551226592705,2092,1356.591796875,1421.19140625,1227.392578125,1442.724609375,1442.724609375,1421.19140625,63945,44100,American Crow
1335.05859375,40,1050.7377101547431,1944,1205.859375,1356.591796875,1356.591796875,1248.92578125,1291.9921875,1227.392578125,63945,44100,Canada Goose
3023.4375,54,2009.6367704220825,4267,3164.0625,2578.125,3351.5625,2273.4375,1992.1875,2015.625,69600,48000,American Robin
2390.185546875,50,1708.8807439736054,3464,2411.71875,2411.71875,3079.248046875,2476.318359375,3057.71484375,2390.185546875,63945,44100,American Robin
3596.044921875,57,2428.0503191005596,5138,3682.177734375,3488.37890625,3380.712890625,4909.5703125,3143.84765625,3229.98046875,63945,44100,Blue Jay
3316.11328125,56,2300.3243609551837,4825,3294.580078125,3143.84765625,3036.181640625,4500.439453125,3488.37890625,3380.712890625,63945,44100,Blue Jay
3750.0,58,2428.0503191005596,5446,3773.4375,1523.4375,3562.5,3843.75,3984.375,4500.0,69600,48000,American Goldfinch
2789.0625,53,1903.9211763064616,4117,1945.3125,2296.875,3328.125,2695.3125,2367.1875,3375.0,69600,48000,Blue Jay
5318.701171875,64,3449.8769869545595,7718,4780.37109375,3294.580078125,3423.779296875,5340.234375,4091.30859375,4521.97265625,63945,44100,American Goldfinch
7170.556640625,69,4399.591234802461,10404,7192.08984375,6309.228515625,6998.291015625,7299.755859375,7342.822265625,7342.822265625,63945,44100,Carolina Chickadee
2273.4375,50,1618.9862188629947,3283,3421.875,1570.3125,2929.6875,2414.0625,2273.4375,2250.0,69600,48000,Eastern Bluebird
2562.451171875,51,1853.1674450398705,3693,2605.517578125,2583.984375,2799.31640625,2390.185546875,2045.654296875,2153.3203125,63945,44100,American Robin
3531.4453125,57,2428.0503191005596,5121,3983.642578125,6115.4296875,6115.4296875,6115.4296875,6072.36328125,6029.296875,63945,44100,Carolina Chickadee
5275.634765625,64,3449.8769869545595,7701,5404.833984375,3445.3125,6201.5625,4155.908203125,3316.11328125,2863.916015625,63945,44100,American Goldfinch
4091.30859375,59,2705.1720466601614,5951,4091.30859375,4177.44140625,6373.828125,5404.833984375,3725.244140625,3208.447265625,63945,44100,American Goldfinch
3531.4453125,14,2428.0503191005596,111,2648.583984375,4500.439453125,3660.64453125,3423.779296875,5620.166015625,3509.912109375,63945,44100,Blue Jay
8656.34765625,72,5173.901310238113,12558,8484.08203125,8247.216796875,7902.685546875,7493.5546875,6933.69140625,7342.822265625,63945,44100,American Robin
1356.591796875,41,1079.5148503509004,1982,1378.125,1378.125,1378.125,1550.390625,1378.125,1313.525390625,63945,44100,American Crow
3186.9140625,51,2239.003521681573,4612,3789.84375,3789.84375,3186.9140625,2670.1171875,2540.91796875,3143.84765625,63945,44100,American Robin
8656.34765625,72,5173.901310238113,12537,8505.615234375,8376.416015625,7967.28515625,7515.087890625,7687.353515625,7019.82421875,63945,44100,American Robin
1523.4375,42,1139.4551226592705,2202,1429.6875,1453.125,1476.5625,1593.75,1500.0,1523.4375,69600,48000,Canada Goose
1528.857421875,31,1202.7235902613256,1118,1270.458984375,1335.05859375,1270.458984375,1528.857421875,1442.724609375,1485.791015625,63945,44100,Canada Goose
2691.650390625,53,1903.9211763064616,3888,3596.044921875,2756.25,2734.716796875,2691.650390625,3660.64453125,3660.64453125,63945,44100,American Robin
1523.4375,42,1139.4551226592705,2198,1476.5625,1453.125,1476.5625,1523.4375,1523.4375,1546.875,69600,48000,Blue Jay
1248.92578125,39,995.5919108903119,1791,1378.125,1205.859375,1227.392578125,1248.92578125,1485.791015625,1227.392578125,63945,44100,American Crow
3057.71484375,55,2121.2222434897826,4437,3208.447265625,6201.5625,3229.98046875,2971.58203125,3014.6484375,3079.248046875,63945,44100,Blue Jay
2734.716796875,53,1663.3262981669018,3967,2906.982421875,2777.783203125,3531.4453125,2842.3828125,2691.650390625,2217.919921875,63945,44100,American Robin
1658.056640625,44,1269.5050518489365,2425,1378.125,1701.123046875,1679.58984375,1614.990234375,2583.984375,4306.640625,63945,44100,Blue Jay
4543.505859375,61,3013.922629388657,6181,5275.634765625,6115.4296875,5620.166015625,4371.240234375,3186.9140625,3229.98046875,63945,44100,American Goldfinch
4155.908203125,68,2779.2601035454527,6042,6567.626953125,6589.16015625,6696.826171875,6287.6953125,6718.359375,4069.775390625,63945,44100,Carolina Chickadee
1640.625,44,1235.6632525954,110,2648.4375,1523.4375,1242.1875,1617.1875,1710.9375,1687.5,69600,48000,Blue Jay
4992.1875,61,3843.623303895436,9398,6609.375,7687.5,7476.5625,6445.3125,6468.75,4968.75,69600,48000,Carolina Chickadee
8957.8125,73,5173.901310238113,13043,8720.947265625,7988.818359375,9130.078125,7450.48828125,6998.291015625,4048.2421875,63945,44100,Carolina Chickadee
2670.1171875,52,1903.9211763064616,3873,1485.791015625,1442.724609375,1571.923828125,2691.650390625,2756.25,2734.716796875,63945,44100,Blue Jay
1916.455078125,48,1453.1349346829675,2774,2239.453125,2131.787109375,2153.3203125,1916.455078125,2217.919921875,2067.1875,63945,44100,Blue Jay
4523.4375,61,2855.377251401062,6798,4617.1875,4500.0,4078.125,4265.625,4218.75,4546.875,69600,48000,American Robin
1421.19140625,41,1109.0801261491836,2060,1399.658203125,1313.525390625,1658.056640625,1442.724609375,1636.5234375,1421.19140625,63945,44100,American Crow
2713.18359375,52,1903.9211763064616,3935,4629.638671875,4543.505859375,3552.978515625,2906.982421875,2691.650390625,2713.18359375,63945,44100,American Robin
8320.3125,72,4643.879394964275,12065,6023.4375,7593.75,2578.125,8390.625,8343.75,8203.125,69600,48000,Blue Jay
3251.513671875,55,2239.003521681573,102,3186.9140625,3165.380859375,3294.580078125,3273.046875,3079.248046875,2885.44921875,63945,44100,Blue Jay
7838.0859375,71,4771.063912195746,11386,8290.283203125,7773.486328125,7838.0859375,7364.35546875,7902.685546875,7622.75390625,63945,44100,Carolina Chickadee
1054.6875,30,707.3942524746952,150,1335.9375,1312.5,1898.4375,4476.5625,4265.625,1242.1875,69600,48000,American Robin
2993.115234375,49,1618.9862188629947,4359,2260.986328125,3014.6484375,2971.58203125,2971.58203125,2950.048828125,2217.919921875,63945,44100,Blue Jay
4952.63671875,63,3181.27127036677,7162,4974.169921875,4844.970703125,4909.5703125,5254.1015625,4974.169921875,5124.90234375,63945,44100,Brown-headed Cowbird
1828.125,46,1339.9945670973298,2627,1851.5625,2765.625,2765.625,2765.625,1828.125,1875.0,69600,48000,Blue Jay
6912.158203125,69,4282.309241202705,10020,6869.091796875,7041.357421875,7170.556640625,6782.958984375,6029.296875,5038.76953125,63945,44100,Carolina Chickadee
2929.6875,54,2064.6758144450405,4411,4500.0,2812.5,3070.3125,2976.5625,3023.4375,2390.625,69600,48000,American Robin
1765.72265625,42,1339.9945670973298,2574,1787.255859375,1614.990234375,1571.923828125,1722.65625,1765.72265625,1701.123046875,63945,44100,Canada Goose
3057.71484375,54,2121.2222434897826,4425,2024.12109375,2885.44921875,3014.6484375,3014.6484375,2454.78515625,2131.787109375,63945,44100,American Robin
2260.986328125,50,1663.3262981669018,3263,4112.841796875,2476.318359375,3165.380859375,2497.8515625,2282.51953125,2217.919921875,63945,44100,American Robin
2045.654296875,47,1492.9327522878455,2958,2002.587890625,1981.0546875,2067.1875,2067.1875,2024.12109375,2024.12109375,63945,44100,Blue Jay
6375.0,67,3741.1620115459477,123,3140.625,3093.75,3046.875,6164.0625,6304.6875,6351.5625,69600,48000,Blue Jay
3402.24609375,56,2300.3243609551837,4930,3423.779296875,3423.779296875,3316.11328125,3100.78125,3294.580078125,3294.580078125,63945,44100,Blue Jay
2859.375,53,1956.0649283422904,4107,2812.5,3187.5,3585.9375,2906.25,3679.6875,2882.8125,69600,48000,American Robin
7601.220703125,70,4643.879394964275,11028,7708.88671875,7428.955078125,7558.154296875,7385.888671875,2993.115234375,7515.087890625,63945,44100,Carolina Chickadee
4069.775390625,59,2705.1720466601614,5900,3682.177734375,3423.779296875,5167.96875,4026.708984375,3122.314453125,1227.392578125,63945,44100,American Goldfinch
2067.1875,48,1575.8281341171266,2977,1744.189453125,1270.458984375,2842.3828125,2282.51953125,2131.787109375,2067.1875,63945,44100,Eastern Bluebird
7078.125,13,4168.153689421891,350,4757.8125,2390.625,7546.875,7382.8125,6281.25,6140.625,69600,48000,Blue Jay
1442.724609375,18,812.1934009894649,526,1205.859375,4091.30859375,1658.056640625,1442.724609375,4801.904296875,6976.7578125,63945,44100,Canada Goose
2368.65234375,30,1708.8807439736054,3450,1270.458984375,1485.791015625,1335.05859375,2540.91796875,2368.65234375,2433.251953125,63945,44100,Eastern Bluebird
2627.05078125,51,1618.9862188629947,3798,5081.8359375,2433.251953125,2540.91796875,2368.65234375,2239.453125,2627.05078125,63945,44100,American Robin
2497.8515625,51,1803.7666800985344,3643,4952.63671875,4995.703125,4952.63671875,2497.8515625,2368.65234375,2067.1875,63945,44100,Eastern Bluebird
3632.8125,58,2363.324628283645,5278,3843.75,3750.0,3890.625,6515.625,6445.3125,6375.0,69600,48000,Carolina Chickadee
4335.9375,60,2633.058990303261,6282,4335.9375,4289.0625,7640.625,7218.75,6937.5,6820.3125,69600,48000,Carolina Chickadee
1291.9921875,40,1022.7276958555574,1881,1593.45703125,1356.591796875,1356.591796875,1291.9921875,1658.056640625,1614.990234375,63945,44100,American Crow
7617.1875,71,4399.591234802461,11051,7617.1875,7078.125,7640.625,7875.0,7546.875,7078.125,69600,48000,Blue Jay
2217.919921875,49,1663.3262981669018,3515,2217.919921875,2325.5859375,2282.51953125,2196.38671875,7062.890625,2196.38671875,63945,44100,Blue Jay
1523.4375,42,1139.4551226592705,2209,1453.125,1453.125,1382.8125,1523.4375,1500.0,1546.875,69600,48000,Canada Goose
3445.3125,57,2239.003521681573,4973,3539.0625,3492.1875,3421.875,3375.0,3351.5625,3257.8125,69600,48000,Blue Jay
4710.9375,50,2933.5790620740468,6810,2062.5,3375.0,3375.0,3515.625,4851.5625,2320.3125,69600,48000,Eastern Bluebird
3875.9765625,59,2633.058990303261,7914,4888.037109375,4328.173828125,5986.23046875,4586.572265625,3186.9140625,3983.642578125,63945,44100,American Goldfinch
1550.390625,31,1202.7235902613256,1137,1270.458984375,1313.525390625,1270.458984375,1550.390625,1507.32421875,1528.857421875,63945,44100,Canada Goose
